fecha,temporada,semana,parcela_nombre,cultivo,variedad,n_remito,n_ciu,destino,comprador,cuadrilla,acarreo,cantidad_envases,peso_unitario_kg,bruto_kg,tara_kg,kg_total,observaciones
2025-02-07,2024,6,FLAME,vid,FLAME,71682032,0,PASAS,PASERO,TORO,TORO,450.0,17.76888889,14800.0,6804,7996,Migración Excel · ORIGEN=TERCEROS · FINCA=SANCHEZ · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-07,2024,6,FLAME,vid,FLAME,71682034,0,PASAS,PASERO,DIAZ M,DIAZ M,13.5,387.027027,13000.0,5840.0,5224.864865,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-07,2024,6,SULTANINA,vid,SULTANINA,71682034,0,PASAS,PASERO,DIAZ M,DIAZ M,5.0,387.027027,13000.0,5840.0,1935.135135,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-08,2024,6,FLAME,vid,FLAME,71682036,0,PASAS,PASERO,TORO,TORO,465.0,18.15053763,15420.0,6980.0,8440,Migración Excel · ORIGEN=TERCEROS · FINCA=SANCHEZ · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-08,2024,6,SULTANINA,vid,SULTANINA,71682038,0,PASAS,PASERO,HIDALGO,HIDALGO,54.0,16.0,,,864,Migración Excel · ORIGEN=TERCEROS · FINCA=HIDALGO R · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-10,2024,7,10,vid,FLAME,71682040,0,PASAS,PASERO,FINCA,FINCA,689.0,16.0,,,11024.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=10
2025-02-10,2024,7,SUPERIOR,vid,SUPERIOR,71682042,0,PASAS,PASERO,CAUCETE,ZARATE D,24.0,343.3333333,15780.0,7540.0,8240,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SUPERIOR
2025-02-10,2024,7,SULTANINA,vid,SULTANINA,71682039,0,PASAS,PASERO,HIDALGO,HIDALGO,54.0,16.0,,,864,Migración Excel · ORIGEN=TERCEROS · FINCA=HIDALGO R · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-10,2024,7,FLAME,vid,FLAME,71682041,0,PASAS,PASERO,TORCUATO,TORCUATO,10.0,370,11780.0,8080.0,3700,Migración Excel · ORIGEN=TERCEROS · FINCA=TORCUATO · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-11,2024,7,7,vid,FLAME,71682044,0,PASAS,PASERO,FINCA,FINCA,1050.0,16.0,,,16800,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=7
