fecha,tipo,clasificacion,monto,moneda,origen,finca,forma_pago,descripcion
2025-10-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2025-11-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2025-12-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2026-01-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2026-02-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2026-03-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2026-04-15,sueldos_personal,obreros,3000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · PLUS JORNAL
2025-05-15,inversion,inversion_otros,10733000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INVERSIONES
2025-06-15,inversion,inversion_otros,10305812.4,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INVERSIONES
2025-07-15,inversion,inversion_otros,17600511.4,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INVERSIONES
2025-08-15,inversion,inversion_otros,3475111.7,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INVERSIONES
2025-09-15,inversion,inversion_otros,13583254.88,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INVERSIONES
2025-10-15,inversion,inversion_otros,12527760.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INVERSIONES
2025-11-15,inversion,inversion_otros,14883760.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · INVERSIONES
